"FatherValence_s","Leave","CoupleID","MotherValence_s","FatherArousal_s","MotherArousal_s","FatherValenceVel","MotherValenceVel","FatherValenceAcc","isProximate","MotherValenceAcc","StudyDay","time","TimeDifference_s"
1.60643212967625,"Maternity Leave","C01",-1.15320513450765,1.3232693099542,0.428571428571429,0,NA,NA,0,NA,1,3,-1.26769459390178
0.677492741492572,"Maternity Leave","C02",-1.25205341842601,1.7584766892534,-1.04193017598502,NA,NA,NA,0,NA,1,3,-0.83510446997178
0.616013984886855,"Maternity Leave","C02",0.725679590332249,-0.447861576509113,-1.48002750819296,NA,0.671028924192496,NA,1,-0.679050189493373,1,5,-0.354448776716235
0.685184382113102,"Maternity Leave","C02",-1.56592870419463,0.0866941399894269,0.291480526091904,NA,NA,NA,0,NA,2,7,1.77697082945617
0.830705828075085,"Maternity Leave","C02",0.868708819541977,0.932957821819479,0.0931710956961672,NA,NA,NA,0,NA,2,9,1.66507418406628
-1.14570868465237,"Maternity Leave","C02",0.0149065182638747,-0.629048196078714,-0.402257074407155,-1.97954075223946,-0.862245250218624,NA,0,NA,2,10,1.58432402759935
0.769025873293177,"Maternity Leave","C02",0.280100946821994,0.400573962810184,0.51995551852178,NA,NA,NA,0,NA,3,13,0.60878523256789
0.969244057480829,"Maternity Leave","C02",0.0727769261041074,1.99618866553095,0.399254807131289,NA,-0.0543914719592568,NA,0,0.0531293393729648,1,15,-1.06005133441538
-0.924374153193186,"Maternity Leave","C02",-0.124497552639095,-1.49169127353521,-0.382451789692921,NA,NA,NA,0,NA,4,19,2.28223609420641
0.676751601299463,"Maternity Leave","C02",1.28638228054337,0.0910123496820948,1.49923679770277,NA,NA,NA,0,NA,4,21,0.381146696242056
-1.5338048446744,"Maternity Leave","C02",0.145187264468008,-0.950387446786001,-1.29799070877811,NA,NA,NA,0,NA,6,36,0.265020280751529
0.460364445266197,"Maternity Leave","C02",-1.37922038145352,-0.0782711505290635,0.5352133149072,-0.0207753278038703,NA,NA,0,NA,7,40,-0.951999934571556
-0.893396389963708,"Maternity Leave","C03",NA,-0.198819077212407,-1.57427029885221,1.44501405018827,NA,NA,0,NA,6,9,0.550722024822617
1.78008386551782,"Maternity Leave","C03",NA,3.54024972736731,0.138581855346984,2.29714545661359,NA,1.87094647392781,0,NA,2,11,0.122361670993281
-1.61708417769841,"Maternity Leave","C03",NA,0.370767709641609,0.996122541748067,NA,NA,NA,1,NA,3,16,0.461512328154383
-0.176809752638272,"Maternity Leave","C03",NA,-1.11922601953139,-0.393105189552255,1.45618517516051,NA,NA,1,NA,3,17,0.92640251467116
1.6666351961824,"Maternity Leave","C03",NA,-1.2393913256232,-1.50395517431786,1.87974062230867,NA,0.4325430291643,1,NA,3,18,0.291552475019231
-0.179292995285395,"Maternity Leave","C03",NA,1.08760586771307,0.138595276611179,NA,NA,NA,1,NA,4,19,-0.295616519861745
1.81904342089733,"Maternity Leave","C03",NA,0.0476661282357241,-0.995405103696552,NA,NA,NA,1,NA,4,21,-0.101816144341126
0.257356408810983,"Maternity Leave","C03",NA,0.0746324895823109,-1.21365578779705,-1.59240788404824,NA,NA,1,NA,4,22,0.609554281677102
0.110827956647665,"Maternity Leave","C03",NA,-0.410068353847616,-0.697978768020411,-0.152063492436972,NA,1.43806593523565,1,NA,3,23,0.58263756285477
-0.327353693669498,"Maternity Leave","C03",NA,0.229416529084761,0.432050024062298,-0.401565760941614,NA,-0.272742090516996,1,NA,4,24,0.121592621884059
-0.625206875800275,"Maternity Leave","C03",NA,0.75870070791107,0.422982905478572,NA,NA,NA,0,NA,5,28,0.686843717152603
-0.0418100902375427,"Maternity Leave","C03",NA,-0.166114864151047,-1.47758058060306,0.554776725850311,NA,NA,1,NA,5,29,0.587636382064629
-0.177226256882008,"Maternity Leave","C03",NA,-0.517934873991408,-1.24557393419892,-0.14170612721771,NA,-0.702423495197997,1,NA,5,30,0.8183511148273
0.953646051443805,"Maternity Leave","C03",NA,-0.229096485399099,1.29080828828254,NA,NA,NA,0,NA,6,31,0.50073383272402
-0.486195792166987,"Maternity Leave","C03",NA,-0.889100903296065,0.159159192089159,NA,NA,NA,0,NA,6,33,1.00023122915524
0.389606434416359,"Maternity Leave","C03",NA,0.0733154353113247,-0.669372621760595,NA,NA,NA,1,NA,6,35,-0.0664398853174978
-0.874107160064467,"Maternity Leave","C03",NA,0.619799206295919,-1.51545537288923,-1.26416365260689,NA,NA,1,NA,6,36,0.131205735749188
0.102494006088407,"Maternity Leave","C03",NA,0.211812268549461,0.16498436404196,NA,NA,NA,0,NA,7,40,-0.0391386419405943
0.0926074851865308,"Maternity Leave","C03",NA,-0.0922638013088208,0.430224605016018,-0.041045119568179,NA,NA,1,NA,7,41,-0.212559216067222
0.821006064675968,"Maternity Leave","C03",NA,0.0626056721070523,-0.651593513489424,0.733722621455135,NA,0.711431450761135,1,NA,7,42,-0.0449065102596556
0.519096303972893,"Maternity Leave","C04",-0.361760079641051,-0.0772153263667308,0.234276121562525,NA,-1.51855276989953,NA,1,-1.57467382203869,1,4,-1.4607259203132
-0.171879902876922,"Maternity Leave","C04",0.202316716202277,-0.88863341722748,-0.852101328805391,-0.700960127824507,0.530932717895425,NA,1,2.02397023984026,1,5,-0.780117458663346
-1.78793969695887,"Maternity Leave","C04",-1.03081962214617,-0.132371660122106,-0.68018303812108,-1.65096469738257,-1.175179802701,-0.950961219476201,0,-1.74455841205893,1,6,-1.29614941094251
